id;tanggal;penulis;judul;deskripsi;image_url;file_url
1;2021-10-23;Juna;Artikel 1;Deskripsi artikel 1;artikel/images/artikel_1.jpg;artikel/files/artikel_1.pdf
2;2021-01-15;Juna;Artikel 2;Deskripsi artikel 2;artikel/images/artikel_2.jpg;artikel/files/artikel_2.pdf
3;2021-11-22;Juna;Artikel 3;Deskripsi artikel 3;artikel/images/artikel_3.jpg;artikel/files/artikel_3.pdf
4;2022-12-05;Juna;Artikel 4;Deskripsi artikel 4;artikel/images/artikel_4.jpg;artikel/files/artikel_4.pdf
5;2020-03-30;Juna;Artikel 5;Deskripsi artikel 5;artikel/images/artikel_5.jpg;artikel/files/artikel_5.pdf
6;2020-01-16;Juna;Artikel 6;Deskripsi artikel 6;artikel/images/artikel_6.jpg;artikel/files/artikel_6.pdf
7;2023-10-02;Juna;Artikel 7;Deskripsi artikel 7;artikel/images/artikel_7.jpg;artikel/files/artikel_7.pdf
8;2023-08-30;Juna;Artikel 8;Deskripsi artikel 8;artikel/images/artikel_8.jpg;artikel/files/artikel_8.pdf
9;2020-11-11;Juna;Artikel 9;Deskripsi artikel 9;artikel/images/artikel_9.jpg;artikel/files/artikel_9.pdf
10;2021-10-07;Windah;Artikel 10;Deskripsi artikel 10;artikel/images/artikel_10.jpg;artikel/files/artikel_10.pdf
11;2021-07-21;Windah;Artikel 11;Deskripsi artikel 11;artikel/images/artikel_11.jpg;artikel/files/artikel_11.pdf
12;2022-06-03;Windah;Artikel 12;Deskripsi artikel 12;artikel/images/artikel_12.jpg;artikel/files/artikel_12.pdf
13;2021-01-12;Windah;Artikel 13;Deskripsi artikel 13;artikel/images/artikel_13.jpg;artikel/files/artikel_13.pdf
14;2021-11-26;Windah;Artikel 14;Deskripsi artikel 14;artikel/images/artikel_14.jpg;artikel/files/artikel_14.pdf
15;2022-01-24;Windah;Artikel 15;Deskripsi artikel 15;artikel/images/artikel_15.jpg;artikel/files/artikel_15.pdf
16;2024-03-24;Windah;Artikel 16;Deskripsi artikel 16;artikel/images/artikel_16.jpg;artikel/files/artikel_16.pdf
17;2020-03-09;Windah;Artikel 17;Deskripsi artikel 17;artikel/images/artikel_17.jpg;artikel/files/artikel_17.pdf
18;2021-06-02;Windah;Artikel 18;Deskripsi artikel 18;artikel/images/artikel_18.jpg;artikel/files/artikel_18.pdf
19;2024-05-30;Windah;Artikel 19;Deskripsi artikel 19;artikel/images/artikel_19.jpg;artikel/files/artikel_19.pdf
20;2021-02-10;Windah;Artikel 20;Deskripsi artikel 20;artikel/images/artikel_20.jpg;artikel/files/artikel_20.pdf
21;2020-09-26;Windah;Artikel 21;Deskripsi artikel 21;artikel/images/artikel_21.jpg;artikel/files/artikel_21.pdf
22;2022-11-25;Windah;Artikel 22;Deskripsi artikel 22;artikel/images/artikel_22.jpg;artikel/files/artikel_22.pdf
23;2022-04-22;Windah;Artikel 23;Deskripsi artikel 23;artikel/images/artikel_23.jpg;artikel/files/artikel_23.pdf
24;2023-07-20;Windah;Artikel 24;Deskripsi artikel 24;artikel/images/artikel_24.jpg;artikel/files/artikel_24.pdf
25;2021-03-31;Windah;Artikel 25;Deskripsi artikel 25;artikel/images/artikel_25.jpg;artikel/files/artikel_25.pdf
26;2020-03-16;Windah;Artikel 26;Deskripsi artikel 26;artikel/images/artikel_26.jpg;artikel/files/artikel_26.pdf
27;2022-12-02;Windah;Artikel 27;Deskripsi artikel 27;artikel/images/artikel_27.jpg;artikel/files/artikel_27.pdf
28;2020-04-03;Windah;Artikel 28;Deskripsi artikel 28;artikel/images/artikel_28.jpg;artikel/files/artikel_28.pdf
29;2024-03-12;Windah;Artikel 29;Deskripsi artikel 29;artikel/images/artikel_29.jpg;artikel/files/artikel_29.pdf
30;2023-09-04;Windah;Artikel 30;Deskripsi artikel 30;artikel/images/artikel_30.jpg;artikel/files/artikel_30.pdf
