id;tanggal;judul;deskripsi;file_url
1;2021-07-28;Panduan 1;Deskripsi panduan 1;panduan/files/panduan_1.pdf
2;2021-08-28;Panduan 2;Deskripsi panduan 2;panduan/files/panduan_2.pdf
3;2020-10-06;Panduan 3;Deskripsi panduan 3;panduan/files/panduan_3.pdf
4;2022-09-04;Panduan 4;Deskripsi panduan 4;panduan/files/panduan_4.pdf
5;2024-04-19;Panduan 5;Deskripsi panduan 5;panduan/files/panduan_5.pdf
6;2024-01-30;Panduan 6;Deskripsi panduan 6;panduan/files/panduan_6.pdf
7;2021-11-14;Panduan 7;Deskripsi panduan 7;panduan/files/panduan_7.pdf
8;2020-10-04;Panduan 8;Deskripsi panduan 8;panduan/files/panduan_8.pdf
9;2020-07-01;Panduan 9;Deskripsi panduan 9;panduan/files/panduan_9.pdf
10;2022-04-14;Panduan 10;Deskripsi panduan 10;panduan/files/panduan_10.pdf
11;2023-09-16;Panduan 11;Deskripsi panduan 11;panduan/files/panduan_11.pdf
12;2022-12-11;Panduan 12;Deskripsi panduan 12;panduan/files/panduan_12.pdf
13;2024-05-03;Panduan 13;Deskripsi panduan 13;panduan/files/panduan_13.pdf
14;2020-11-11;Panduan 14;Deskripsi panduan 14;panduan/files/panduan_14.pdf
15;2024-06-01;Panduan 15;Deskripsi panduan 15;panduan/files/panduan_15.pdf
16;2020-05-23;Panduan 16;Deskripsi panduan 16;panduan/files/panduan_16.pdf
17;2022-02-24;Panduan 17;Deskripsi panduan 17;panduan/files/panduan_17.pdf
18;2020-12-22;Panduan 18;Deskripsi panduan 18;panduan/files/panduan_18.pdf
19;2023-01-02;Panduan 19;Deskripsi panduan 19;panduan/files/panduan_19.pdf
20;2021-12-20;Panduan 20;Deskripsi panduan 20;panduan/files/panduan_20.pdf
21;2022-06-02;Panduan 21;Deskripsi panduan 21;panduan/files/panduan_21.pdf
22;2024-05-08;Panduan 22;Deskripsi panduan 22;panduan/files/panduan_22.pdf
23;2020-03-09;Panduan 23;Deskripsi panduan 23;panduan/files/panduan_23.pdf
24;2023-11-25;Panduan 24;Deskripsi panduan 24;panduan/files/panduan_24.pdf
25;2022-12-01;Panduan 25;Deskripsi panduan 25;panduan/files/panduan_25.pdf
26;2022-03-25;Panduan 26;Deskripsi panduan 26;panduan/files/panduan_26.pdf
27;2021-05-04;Panduan 27;Deskripsi panduan 27;panduan/files/panduan_27.pdf
28;2021-03-27;Panduan 28;Deskripsi panduan 28;panduan/files/panduan_28.pdf
29;2020-01-21;Panduan 29;Deskripsi panduan 29;panduan/files/panduan_29.pdf
30;2020-09-19;Panduan 30;Deskripsi panduan 30;panduan/files/panduan_30.pdf
