id;tanggal;no_perihal;ditujukan_kepada;file_url
1;2020-07-26;PG/367/2024;Manajer HRD;pengajuan/files/pengajuan_1.pdf
2;2024-05-01;PG/339/2024;Direktur Keuangan;pengajuan/files/pengajuan_2.pdf
3;2023-08-06;PG/347/2024;Manajer HRD;pengajuan/files/pengajuan_3.pdf
4;2021-02-13;PG/258/2024;Manajer HRD;pengajuan/files/pengajuan_4.pdf
5;2020-09-09;PG/754/2024;Manajer HRD;pengajuan/files/pengajuan_5.pdf
6;2021-09-08;PG/268/2024;Direktur Keuangan;pengajuan/files/pengajuan_6.pdf
7;2021-08-08;PG/459/2024;Manajer HRD;pengajuan/files/pengajuan_7.pdf
8;2024-01-13;PG/595/2024;Direktur Keuangan;pengajuan/files/pengajuan_8.pdf
9;2020-12-19;PG/323/2024;Kepala Bagian;pengajuan/files/pengajuan_9.pdf
10;2023-04-07;PG/114/2024;Direktur Keuangan;pengajuan/files/pengajuan_10.pdf
11;2023-04-13;PG/294/2024;Direktur Keuangan;pengajuan/files/pengajuan_11.pdf
12;2020-06-06;PG/127/2024;Direktur Keuangan;pengajuan/files/pengajuan_12.pdf
13;2023-07-07;PG/184/2024;Manajer HRD;pengajuan/files/pengajuan_13.pdf
14;2021-08-04;PG/858/2024;Kepala Bagian;pengajuan/files/pengajuan_14.pdf
15;2023-09-07;PG/494/2024;Manajer HRD;pengajuan/files/pengajuan_15.pdf
16;2022-03-14;PG/778/2024;Direktur Keuangan;pengajuan/files/pengajuan_16.pdf
17;2023-04-03;PG/886/2024;Direktur Keuangan;pengajuan/files/pengajuan_17.pdf
18;2020-09-18;PG/306/2024;Direktur Keuangan;pengajuan/files/pengajuan_18.pdf
19;2020-04-04;PG/357/2024;Kepala Bagian;pengajuan/files/pengajuan_19.pdf
20;2022-12-02;PG/544/2024;Direktur Keuangan;pengajuan/files/pengajuan_20.pdf
21;2022-05-22;PG/661/2024;Manajer HRD;pengajuan/files/pengajuan_21.pdf
22;2022-08-21;PG/951/2024;Kepala Bagian;pengajuan/files/pengajuan_22.pdf
23;2020-12-22;PG/130/2024;Kepala Bagian;pengajuan/files/pengajuan_23.pdf
24;2020-03-24;PG/144/2024;Kepala Bagian;pengajuan/files/pengajuan_24.pdf
25;2021-04-06;PG/133/2024;Direktur Keuangan;pengajuan/files/pengajuan_25.pdf
26;2022-11-03;PG/229/2024;Kepala Bagian;pengajuan/files/pengajuan_26.pdf
27;2023-08-10;PG/554/2024;Manajer HRD;pengajuan/files/pengajuan_27.pdf
28;2020-09-22;PG/919/2024;Kepala Bagian;pengajuan/files/pengajuan_28.pdf
29;2020-07-09;PG/610/2024;Manajer HRD;pengajuan/files/pengajuan_29.pdf
30;2022-07-27;PG/615/2024;Manajer HRD;pengajuan/files/pengajuan_30.pdf
