id;tanggal;judul;deskripsi;image_url;file_url
1;2020-05-24;Promkes 1;Deskripsi promkes 1;promkes/images/promkes_1.jpg;promkes/files/promkes_1.pdf
2;2020-01-30;Promkes 2;Deskripsi promkes 2;promkes/images/promkes_2.jpg;promkes/files/promkes_2.pdf
3;2020-04-30;Promkes 3;Deskripsi promkes 3;promkes/images/promkes_3.jpg;promkes/files/promkes_3.pdf
4;2023-07-19;Promkes 4;Deskripsi promkes 4;promkes/images/promkes_4.jpg;promkes/files/promkes_4.pdf
5;2022-07-09;Promkes 5;Deskripsi promkes 5;promkes/images/promkes_5.jpg;promkes/files/promkes_5.pdf
6;2023-10-16;Promkes 6;Deskripsi promkes 6;promkes/images/promkes_6.jpg;promkes/files/promkes_6.pdf
7;2022-12-27;Promkes 7;Deskripsi promkes 7;promkes/images/promkes_7.jpg;promkes/files/promkes_7.pdf
8;2023-11-26;Promkes 8;Deskripsi promkes 8;promkes/images/promkes_8.jpg;promkes/files/promkes_8.pdf
9;2020-05-11;Promkes 9;Deskripsi promkes 9;promkes/images/promkes_9.jpg;promkes/files/promkes_9.pdf
10;2024-04-10;Promkes 10;Deskripsi promkes 10;promkes/images/promkes_10.jpg;promkes/files/promkes_10.pdf
11;2021-08-31;Promkes 11;Deskripsi promkes 11;promkes/images/promkes_11.jpg;promkes/files/promkes_11.pdf
12;2023-06-20;Promkes 12;Deskripsi promkes 12;promkes/images/promkes_12.jpg;promkes/files/promkes_12.pdf
13;2020-07-16;Promkes 13;Deskripsi promkes 13;promkes/images/promkes_13.jpg;promkes/files/promkes_13.pdf
14;2023-11-14;Promkes 14;Deskripsi promkes 14;promkes/images/promkes_14.jpg;promkes/files/promkes_14.pdf
15;2024-03-08;Promkes 15;Deskripsi promkes 15;promkes/images/promkes_15.jpg;promkes/files/promkes_15.pdf
16;2023-12-13;Promkes 16;Deskripsi promkes 16;promkes/images/promkes_16.jpg;promkes/files/promkes_16.pdf
17;2022-03-09;Promkes 17;Deskripsi promkes 17;promkes/images/promkes_17.jpg;promkes/files/promkes_17.pdf
18;2023-07-25;Promkes 18;Deskripsi promkes 18;promkes/images/promkes_18.jpg;promkes/files/promkes_18.pdf
19;2021-12-24;Promkes 19;Deskripsi promkes 19;promkes/images/promkes_19.jpg;promkes/files/promkes_19.pdf
20;2024-02-24;Promkes 20;Deskripsi promkes 20;promkes/images/promkes_20.jpg;promkes/files/promkes_20.pdf
21;2021-12-08;Promkes 21;Deskripsi promkes 21;promkes/images/promkes_21.jpg;promkes/files/promkes_21.pdf
22;2023-07-29;Promkes 22;Deskripsi promkes 22;promkes/images/promkes_22.jpg;promkes/files/promkes_22.pdf
23;2022-12-28;Promkes 23;Deskripsi promkes 23;promkes/images/promkes_23.jpg;promkes/files/promkes_23.pdf
24;2020-02-01;Promkes 24;Deskripsi promkes 24;promkes/images/promkes_24.jpg;promkes/files/promkes_24.pdf
25;2023-03-03;Promkes 25;Deskripsi promkes 25;promkes/images/promkes_25.jpg;promkes/files/promkes_25.pdf
26;2022-08-24;Promkes 26;Deskripsi promkes 26;promkes/images/promkes_26.jpg;promkes/files/promkes_26.pdf
27;2022-10-13;Promkes 27;Deskripsi promkes 27;promkes/images/promkes_27.jpg;promkes/files/promkes_27.pdf
28;2021-08-24;Promkes 28;Deskripsi promkes 28;promkes/images/promkes_28.jpg;promkes/files/promkes_28.pdf
29;2023-02-06;Promkes 29;Deskripsi promkes 29;promkes/images/promkes_29.jpg;promkes/files/promkes_29.pdf
30;2020-06-25;Promkes 30;Deskripsi promkes 30;promkes/images/promkes_30.jpg;promkes/files/promkes_30.pdf
