id;tanggal;judul;deskripsi;image_url;file_url
1;2023-08-23;SOP 1;Deskripsi sop 1;sop/images/sop_1.jpg;sop/files/sop_1.pdf
2;2022-02-25;SOP 2;Deskripsi sop 2;sop/images/sop_2.jpg;sop/files/sop_2.pdf
3;2021-05-08;SOP 3;Deskripsi sop 3;sop/images/sop_3.jpg;sop/files/sop_3.pdf
4;2024-01-11;SOP 4;Deskripsi sop 4;sop/images/sop_4.jpg;sop/files/sop_4.pdf
5;2023-02-11;SOP 5;Deskripsi sop 5;sop/images/sop_5.jpg;sop/files/sop_5.pdf
6;2021-05-15;SOP 6;Deskripsi sop 6;sop/images/sop_6.jpg;sop/files/sop_6.pdf
7;2023-12-11;SOP 7;Deskripsi sop 7;sop/images/sop_7.jpg;sop/files/sop_7.pdf
8;2020-10-30;SOP 8;Deskripsi sop 8;sop/images/sop_8.jpg;sop/files/sop_8.pdf
9;2021-03-05;SOP 9;Deskripsi sop 9;sop/images/sop_9.jpg;sop/files/sop_9.pdf
10;2024-05-04;SOP 10;Deskripsi sop 10;sop/images/sop_10.jpg;sop/files/sop_10.pdf
11;2021-04-24;SOP 11;Deskripsi sop 11;sop/images/sop_11.jpg;sop/files/sop_11.pdf
12;2021-01-28;SOP 12;Deskripsi sop 12;sop/images/sop_12.jpg;sop/files/sop_12.pdf
13;2023-12-18;SOP 13;Deskripsi sop 13;sop/images/sop_13.jpg;sop/files/sop_13.pdf
14;2022-02-14;SOP 14;Deskripsi sop 14;sop/images/sop_14.jpg;sop/files/sop_14.pdf
15;2024-03-08;SOP 15;Deskripsi sop 15;sop/images/sop_15.jpg;sop/files/sop_15.pdf
16;2024-04-24;SOP 16;Deskripsi sop 16;sop/images/sop_16.jpg;sop/files/sop_16.pdf
17;2020-01-28;SOP 17;Deskripsi sop 17;sop/images/sop_17.jpg;sop/files/sop_17.pdf
18;2023-07-13;SOP 18;Deskripsi sop 18;sop/images/sop_18.jpg;sop/files/sop_18.pdf
19;2020-04-24;SOP 19;Deskripsi sop 19;sop/images/sop_19.jpg;sop/files/sop_19.pdf
20;2024-01-21;SOP 20;Deskripsi sop 20;sop/images/sop_20.jpg;sop/files/sop_20.pdf
21;2023-01-06;SOP 21;Deskripsi sop 21;sop/images/sop_21.jpg;sop/files/sop_21.pdf
22;2023-12-03;SOP 22;Deskripsi sop 22;sop/images/sop_22.jpg;sop/files/sop_22.pdf
23;2022-08-16;SOP 23;Deskripsi sop 23;sop/images/sop_23.jpg;sop/files/sop_23.pdf
24;2020-02-04;SOP 24;Deskripsi sop 24;sop/images/sop_24.jpg;sop/files/sop_24.pdf
25;2023-12-10;SOP 25;Deskripsi sop 25;sop/images/sop_25.jpg;sop/files/sop_25.pdf
26;2023-10-05;SOP 26;Deskripsi sop 26;sop/images/sop_26.jpg;sop/files/sop_26.pdf
27;2021-10-31;SOP 27;Deskripsi sop 27;sop/images/sop_27.jpg;sop/files/sop_27.pdf
28;2021-09-22;SOP 28;Deskripsi sop 28;sop/images/sop_28.jpg;sop/files/sop_28.pdf
29;2021-06-28;SOP 29;Deskripsi sop 29;sop/images/sop_29.jpg;sop/files/sop_29.pdf
30;2021-09-13;SOP 30;Deskripsi sop 30;sop/images/sop_30.jpg;sop/files/sop_30.pdf
