id;tanggal_surat;tanggal_diterima;no_surat;no_agenda;perihal;dari;disposisi;image_url;file_url
1;2021-08-01;2020-11-06;SM/471/2024;AG/541;Perihal Surat Masuk 1;Dinas Kesehatan;Penting;surat_masuk/images/surat_masuk_1.jpg;surat_masuk/files/surat_masuk_1.pdf
2;2023-08-31;2024-04-04;SM/227/2024;AG/505;Perihal Surat Masuk 2;Dinas Kesehatan;Segera;surat_masuk/images/surat_masuk_2.jpg;surat_masuk/files/surat_masuk_2.pdf
3;2024-02-17;2024-05-06;SM/243/2024;AG/962;Perihal Surat Masuk 3;CV. XYZ;Penting;surat_masuk/images/surat_masuk_3.jpg;surat_masuk/files/surat_masuk_3.pdf
4;2022-10-14;2023-05-01;SM/933/2024;AG/305;Perihal Surat Masuk 4;Universitas DEF;Segera;surat_masuk/images/surat_masuk_4.jpg;surat_masuk/files/surat_masuk_4.pdf
5;2023-10-02;2023-05-30;SM/232/2024;AG/775;Perihal Surat Masuk 5;Dinas Kesehatan;Segera;surat_masuk/images/surat_masuk_5.jpg;surat_masuk/files/surat_masuk_5.pdf
6;2020-10-21;2021-06-29;SM/607/2024;AG/385;Perihal Surat Masuk 6;PT. ABC;Segera;surat_masuk/images/surat_masuk_6.jpg;surat_masuk/files/surat_masuk_6.pdf
7;2021-03-25;2023-07-20;SM/922/2024;AG/133;Perihal Surat Masuk 7;Universitas DEF;Segera;surat_masuk/images/surat_masuk_7.jpg;surat_masuk/files/surat_masuk_7.pdf
8;2023-04-15;2020-04-10;SM/380/2024;AG/295;Perihal Surat Masuk 8;PT. ABC;Penting;surat_masuk/images/surat_masuk_8.jpg;surat_masuk/files/surat_masuk_8.pdf
9;2020-05-15;2023-06-05;SM/322/2024;AG/400;Perihal Surat Masuk 9;PT. ABC;Biasa;surat_masuk/images/surat_masuk_9.jpg;surat_masuk/files/surat_masuk_9.pdf
10;2023-06-19;2022-02-01;SM/288/2024;AG/135;Perihal Surat Masuk 10;CV. XYZ;Segera;surat_masuk/images/surat_masuk_10.jpg;surat_masuk/files/surat_masuk_10.pdf
11;2021-05-30;2021-02-12;SM/356/2024;AG/292;Perihal Surat Masuk 11;CV. XYZ;Biasa;surat_masuk/images/surat_masuk_11.jpg;surat_masuk/files/surat_masuk_11.pdf
12;2021-07-24;2020-07-27;SM/503/2024;AG/639;Perihal Surat Masuk 12;Dinas Kesehatan;Biasa;surat_masuk/images/surat_masuk_12.jpg;surat_masuk/files/surat_masuk_12.pdf
13;2023-08-20;2020-01-10;SM/870/2024;AG/637;Perihal Surat Masuk 13;Universitas DEF;Biasa;surat_masuk/images/surat_masuk_13.jpg;surat_masuk/files/surat_masuk_13.pdf
14;2023-08-05;2022-04-11;SM/878/2024;AG/410;Perihal Surat Masuk 14;Universitas DEF;Segera;surat_masuk/images/surat_masuk_14.jpg;surat_masuk/files/surat_masuk_14.pdf
15;2024-02-24;2024-02-07;SM/367/2024;AG/133;Perihal Surat Masuk 15;Universitas DEF;Segera;surat_masuk/images/surat_masuk_15.jpg;surat_masuk/files/surat_masuk_15.pdf
16;2021-10-21;2021-04-03;SM/567/2024;AG/498;Perihal Surat Masuk 16;Universitas DEF;Biasa;surat_masuk/images/surat_masuk_16.jpg;surat_masuk/files/surat_masuk_16.pdf
17;2022-10-20;2020-04-13;SM/958/2024;AG/533;Perihal Surat Masuk 17;Universitas DEF;Segera;surat_masuk/images/surat_masuk_17.jpg;surat_masuk/files/surat_masuk_17.pdf
18;2024-05-24;2022-12-29;SM/659/2024;AG/421;Perihal Surat Masuk 18;PT. ABC;Segera;surat_masuk/images/surat_masuk_18.jpg;surat_masuk/files/surat_masuk_18.pdf
19;2022-05-08;2020-03-06;SM/149/2024;AG/474;Perihal Surat Masuk 19;Dinas Kesehatan;Segera;surat_masuk/images/surat_masuk_19.jpg;surat_masuk/files/surat_masuk_19.pdf
20;2020-08-05;2020-06-25;SM/392/2024;AG/536;Perihal Surat Masuk 20;CV. XYZ;Biasa;surat_masuk/images/surat_masuk_20.jpg;surat_masuk/files/surat_masuk_20.pdf
