id;tanggal_surat;tanggal_diterima;no_surat;no_agenda;perihal;dari;disposisi;image_url;file_url
1;01/08/2021;06/11/2020;SM/471/2024;AG/541;Perihal Surat Masuk 1;Dinas Kesehatan;Penting;surat_masuk/images/surat_masuk_1.jpg;surat_masuk/files/surat_masuk_1.pdf
2;31/08/2023;04/04/2024;SM/227/2024;AG/505;Perihal Surat Masuk 2;Dinas Kesehatan;Segera;surat_masuk/images/surat_masuk_2.jpg;surat_masuk/files/surat_masuk_2.pdf
3;17/02/2024;06/05/2024;SM/243/2024;AG/962;Perihal Surat Masuk 3;CV. XYZ;Penting;surat_masuk/images/surat_masuk_3.jpg;surat_masuk/files/surat_masuk_3.pdf
4;14/10/2022;01/05/2023;SM/933/2024;AG/305;Perihal Surat Masuk 4;Universitas DEF;Segera;surat_masuk/images/surat_masuk_4.jpg;surat_masuk/files/surat_masuk_4.pdf
5;02/10/2023;30/05/2023;SM/232/2024;AG/775;Perihal Surat Masuk 5;Dinas Kesehatan;Segera;surat_masuk/images/surat_masuk_5.jpg;surat_masuk/files/surat_masuk_5.pdf
6;21/10/2020;29/06/2021;SM/607/2024;AG/385;Perihal Surat Masuk 6;PT. ABC;Segera;surat_masuk/images/surat_masuk_6.jpg;surat_masuk/files/surat_masuk_6.pdf
7;25/03/2021;20/07/2023;SM/922/2024;AG/133;Perihal Surat Masuk 7;Universitas DEF;Segera;surat_masuk/images/surat_masuk_7.jpg;surat_masuk/files/surat_masuk_7.pdf
8;15/04/2023;10/04/2020;SM/380/2024;AG/295;Perihal Surat Masuk 8;PT. ABC;Penting;surat_masuk/images/surat_masuk_8.jpg;surat_masuk/files/surat_masuk_8.pdf
9;15/05/2020;05/06/2023;SM/322/2024;AG/400;Perihal Surat Masuk 9;PT. ABC;Biasa;surat_masuk/images/surat_masuk_9.jpg;surat_masuk/files/surat_masuk_9.pdf
10;19/06/2023;01/02/2022;SM/288/2024;AG/135;Perihal Surat Masuk 10;CV. XYZ;Segera;surat_masuk/images/surat_masuk_10.jpg;surat_masuk/files/surat_masuk_10.pdf
11;30/05/2021;12/02/2021;SM/356/2024;AG/292;Perihal Surat Masuk 11;CV. XYZ;Biasa;surat_masuk/images/surat_masuk_11.jpg;surat_masuk/files/surat_masuk_11.pdf
12;24/07/2021;27/07/2020;SM/503/2024;AG/639;Perihal Surat Masuk 12;Dinas Kesehatan;Biasa;surat_masuk/images/surat_masuk_12.jpg;surat_masuk/files/surat_masuk_12.pdf
13;20/08/2023;10/01/2020;SM/870/2024;AG/637;Perihal Surat Masuk 13;Universitas DEF;Biasa;surat_masuk/images/surat_masuk_13.jpg;surat_masuk/files/surat_masuk_13.pdf
14;05/08/2023;11/04/2022;SM/878/2024;AG/410;Perihal Surat Masuk 14;Universitas DEF;Segera;surat_masuk/images/surat_masuk_14.jpg;surat_masuk/files/surat_masuk_14.pdf
15;24/02/2024;07/02/2024;SM/367/2024;AG/133;Perihal Surat Masuk 15;Universitas DEF;Segera;surat_masuk/images/surat_masuk_15.jpg;surat_masuk/files/surat_masuk_15.pdf
16;21/10/2021;03/04/2021;SM/567/2024;AG/498;Perihal Surat Masuk 16;Universitas DEF;Biasa;surat_masuk/images/surat_masuk_16.jpg;surat_masuk/files/surat_masuk_16.pdf
17;20/10/2022;13/04/2020;SM/958/2024;AG/533;Perihal Surat Masuk 17;Universitas DEF;Segera;surat_masuk/images/surat_masuk_17.jpg;surat_masuk/files/surat_masuk_17.pdf
18;24/05/2024;29/12/2022;SM/659/2024;AG/421;Perihal Surat Masuk 18;PT. ABC;Segera;surat_masuk/images/surat_masuk_18.jpg;surat_masuk/files/surat_masuk_18.pdf
19;08/05/2022;06/03/2020;SM/149/2024;AG/474;Perihal Surat Masuk 19;Dinas Kesehatan;Segera;surat_masuk/images/surat_masuk_19.jpg;surat_masuk/files/surat_masuk_19.pdf
20;05/08/2020;25/06/2020;SM/392/2024;AG/536;Perihal Surat Masuk 20;CV. XYZ;Biasa;surat_masuk/images/surat_masuk_20.jpg;surat_masuk/files/surat_masuk_20.pdf
21;11/10/2022;27/06/2022;SM/565/2024;AG/147;Perihal Surat Masuk 21;CV. XYZ;Penting;surat_masuk/images/surat_masuk_21.jpg;surat_masuk/files/surat_masuk_21.pdf
22;09/02/2022;23/10/2021;SM/586/2024;AG/316;Perihal Surat Masuk 22;PT. ABC;Segera;surat_masuk/images/surat_masuk_22.jpg;surat_masuk/files/surat_masuk_22.pdf
23;02/12/2021;09/02/2020;SM/948/2024;AG/487;Perihal Surat Masuk 23;Universitas DEF;Biasa;surat_masuk/images/surat_masuk_23.jpg;surat_masuk/files/surat_masuk_23.pdf
24;02/06/2022;24/04/2022;SM/677/2024;AG/490;Perihal Surat Masuk 24;Dinas Kesehatan;Biasa;surat_masuk/images/surat_masuk_24.jpg;surat_masuk/files/surat_masuk_24.pdf
