id;tanggal;judul;deskripsi;image_url;file_url
1;2022-05-08;Video 1;Deskripsi video 1;video/images/video_1.jpg;video/files/video_1.pdf
2;2020-09-01;Video 2;Deskripsi video 2;video/images/video_2.jpg;video/files/video_2.pdf
3;2023-09-07;Video 3;Deskripsi video 3;video/images/video_3.jpg;video/files/video_3.pdf
4;2020-02-07;Video 4;Deskripsi video 4;video/images/video_4.jpg;video/files/video_4.pdf
5;2023-05-01;Video 5;Deskripsi video 5;video/images/video_5.jpg;video/files/video_5.pdf
6;2022-09-05;Video 6;Deskripsi video 6;video/images/video_6.jpg;video/files/video_6.pdf
7;2021-08-12;Video 7;Deskripsi video 7;video/images/video_7.jpg;video/files/video_7.pdf
8;2020-02-05;Video 8;Deskripsi video 8;video/images/video_8.jpg;video/files/video_8.pdf
9;2020-07-12;Video 9;Deskripsi video 9;video/images/video_9.jpg;video/files/video_9.pdf
10;2023-12-28;Video 10;Deskripsi video 10;video/images/video_10.jpg;video/files/video_10.pdf
11;2024-01-15;Video 11;Deskripsi video 11;video/images/video_11.jpg;video/files/video_11.pdf
12;2021-01-28;Video 12;Deskripsi video 12;video/images/video_12.jpg;video/files/video_12.pdf
13;2021-03-07;Video 13;Deskripsi video 13;video/images/video_13.jpg;video/files/video_13.pdf
14;2020-08-28;Video 14;Deskripsi video 14;video/images/video_14.jpg;video/files/video_14.pdf
15;2024-03-06;Video 15;Deskripsi video 15;video/images/video_15.jpg;video/files/video_15.pdf
16;2021-08-16;Video 16;Deskripsi video 16;video/images/video_16.jpg;video/files/video_16.pdf
17;2022-08-28;Video 17;Deskripsi video 17;video/images/video_17.jpg;video/files/video_17.pdf
18;2023-10-06;Video 18;Deskripsi video 18;video/images/video_18.jpg;video/files/video_18.pdf
19;2022-11-23;Video 19;Deskripsi video 19;video/images/video_19.jpg;video/files/video_19.pdf
20;2021-01-15;Video 20;Deskripsi video 20;video/images/video_20.jpg;video/files/video_20.pdf
21;2021-10-02;Video 21;Deskripsi video 21;video/images/video_21.jpg;video/files/video_21.pdf
22;2024-03-19;Video 22;Deskripsi video 22;video/images/video_22.jpg;video/files/video_22.pdf
23;2023-10-11;Video 23;Deskripsi video 23;video/images/video_23.jpg;video/files/video_23.pdf
24;2023-08-29;Video 24;Deskripsi video 24;video/images/video_24.jpg;video/files/video_24.pdf
25;2022-09-09;Video 25;Deskripsi video 25;video/images/video_25.jpg;video/files/video_25.pdf
26;2021-11-16;Video 26;Deskripsi video 26;video/images/video_26.jpg;video/files/video_26.pdf
27;2023-05-30;Video 27;Deskripsi video 27;video/images/video_27.jpg;video/files/video_27.pdf
28;2021-12-17;Video 28;Deskripsi video 28;video/images/video_28.jpg;video/files/video_28.pdf
29;2022-09-17;Video 29;Deskripsi video 29;video/images/video_29.jpg;video/files/video_29.pdf
30;2023-03-26;Video 30;Deskripsi video 30;video/images/video_30.jpg;video/files/video_30.pdf
